Parameter Name,Value,Units
Draw Name,T0testF_1,
Draw Date,2026-02-22 07:52:02,
Order Index,19,
Preform Number,T0test,
Fiber Project,TAMAM - TIGER,
Priority,Normal,
Order Opener,Ohad,
Fiber Geometry Type,TIGER - PM,
Tiger Cut (%),21.0,%
Octagonal F2F (mm),0.0,mm
Required Length (m) (for T&M+costumer),0.01,m
Good Zones Count (required length zones),1,count
Fiber Diameter (µm),40.0,µm
Main Coating Diameter (µm),80.0,µm
Secondary Coating Diameter (µm),110.0,µm
Tension (g),20.0,g
Draw Speed (m/min),50.0,m/min
Main Coating,DP-1032,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),36.0,°C
Secondary Coating Temperature (°C),28.0,°C
Order Notes,hello,
Process Setup Timestamp,2026-02-22 07:52:24,
Preform Diameter,16.0,mm
Preform Shape,Tiger Cut,
Octagonal Preform,0,bool
Octagonal F2F,,mm
Tiger Preform,1,bool
Tiger Cut,21.0,%
PM Iris System,0,bool
Iris Mode,Manual,
Base Area,201.06192982974676,mm^2
Adjusted Area,158.83892456549995,mm^2
Effective Preform Diameter,14.221111067704943,mm
Selected Iris Diameter,21.5,mm
Iris Gap Area,204.2113764649705,mm^2
Entry Fiber Diameter,40.0,µm
Target First Coating Diameter,80.0,µm
Target Second Coating Diameter,110.0,µm
First Coating Diameter (Theoretical),80.56343752013228,µm
Second Coating Diameter (Theoretical),108.91161551997533,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
Primary Coating Temperature,36.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,130,µm
Secondary Die Diameter,140,µm
Primary Die Name,Die_130,
Secondary Die Name,Die_140,
Coating Die Selection Mode,Auto,
Draw Speed,50.0,m/min
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.12,mm
Selected Drum,BN1,
Zones Saved Timestamp,2026-02-22 07:53:21,
Dashboard Log File,newst_test23.csv,
Good Zones Count,1,count
Good Zones X Column,Date/Time,
Zone 1 Start,19/11/2024 13:48:53776,index/label
Zone 1 End,19/11/2024 14:07:43767,index/label
Marked Zone 1 Avg - Bare Fibre Diameter,401.4325561523438,
Marked Zone 1 Min - Bare Fibre Diameter,395.709991455078,
Marked Zone 1 Max - Bare Fibre Diameter,410.040008544922,
Marked Zone 1 Avg - Diameter Error,10.0500001907349,
Marked Zone 1 Min - Diameter Error,10.0500001907349,
Marked Zone 1 Max - Diameter Error,10.0500001907349,
Marked Zone 1 Avg - Pf Process Position,76.26450378149094,
Marked Zone 1 Min - Pf Process Position,39.4747314453125,
Marked Zone 1 Max - Pf Process Position,117.42431640625,
Marked Zone 1 Avg - Capstan Speed,16.976775530676484,
Marked Zone 1 Min - Capstan Speed,5.08799982070923,
Marked Zone 1 Max - Capstan Speed,20.5440006256104,
Marked Zone 1 Avg - Fibre Length,0.23309553795317722,
Marked Zone 1 Min - Fibre Length,0.0915988013148308,
Marked Zone 1 Max - Fibre Length,0.41184601187706,
Marked Zone 1 Avg - Good Fibre State,0.0,
Marked Zone 1 Min - Good Fibre State,0.0,
Marked Zone 1 Max - Good Fibre State,0.0,
Marked Zone 1 Avg - Furnace DegC Actual,2043.861996016314,
Marked Zone 1 Min - Furnace DegC Actual,2039.09375,
Marked Zone 1 Max - Furnace DegC Actual,2050.38134765625,
Marked Zone 1 Avg - Furnace Power,20.69563588381864,
Marked Zone 1 Min - Furnace Power,20.0672092437744,
Marked Zone 1 Max - Furnace Power,20.9865264892578,
Marked Zone 1 Avg - Preform Speed Actual,4.128602634967687,
