Location Name,Location Serial,Description,Active,Last Updated
AR1,AR1,Cabinet A (right cabinet) - right inner shelf 1,Yes,2026-03-26 12:12:53
AR2,AR2,Cabinet A (right cabinet) - right inner shelf 2,Yes,2026-03-26 12:12:53
AR3,AR3,Cabinet A (right cabinet) - right inner shelf 3,Yes,2026-03-26 12:12:53
AR4,AR4,Cabinet A (right cabinet) - right inner shelf 4,Yes,2026-03-26 12:12:53
AR5,AR5,Cabinet A (right cabinet) - right inner shelf 5,Yes,2026-03-26 12:12:53
AR6,AR6,Cabinet A (right cabinet) - right inner shelf 6,Yes,2026-03-26 12:12:53
AL1,AL1,Cabinet A (right cabinet) - left inner shelf 1,Yes,2026-03-26 12:12:53
AL2,AL2,Cabinet A (right cabinet) - left inner shelf 2,Yes,2026-03-26 12:12:53
AL3,AL3,Cabinet A (right cabinet) - left inner shelf 3,Yes,2026-03-26 12:12:53
AL4,AL4,Cabinet A (right cabinet) - left inner shelf 4,Yes,2026-03-26 12:12:53
AL5,AL5,Cabinet A (right cabinet) - left inner shelf 5,Yes,2026-03-26 12:12:53
AL6,AL6,Cabinet A (right cabinet) - left inner shelf 6,Yes,2026-03-26 12:12:53
BR1,BR1,Cabinet B (left cabinet) - right inner shelf 1,Yes,2026-03-26 12:12:53
BR2,BR2,Cabinet B (left cabinet) - right inner shelf 2,Yes,2026-03-26 12:12:53
BR3,BR3,Cabinet B (left cabinet) - right inner shelf 3,Yes,2026-03-26 12:12:53
BR4,BR4,Cabinet B (left cabinet) - right inner shelf 4,Yes,2026-03-26 12:12:53
BR5,BR5,Cabinet B (left cabinet) - right inner shelf 5,Yes,2026-03-26 12:12:53
BR6,BR6,Cabinet B (left cabinet) - right inner shelf 6,Yes,2026-03-26 12:12:53
BL1,BL1,Cabinet B (left cabinet) - left inner shelf 1,Yes,2026-03-26 12:12:53
BL2,BL2,Cabinet B (left cabinet) - left inner shelf 2,Yes,2026-03-26 12:12:53
BL3,BL3,Cabinet B (left cabinet) - left inner shelf 3,Yes,2026-03-26 12:12:53
BL4,BL4,Cabinet B (left cabinet) - left inner shelf 4,Yes,2026-03-26 12:12:53
BL5,BL5,Cabinet B (left cabinet) - left inner shelf 5,Yes,2026-03-26 12:12:53
BL6,BL6,Cabinet B (left cabinet) - left inner shelf 6,Yes,2026-03-26 12:12:53
SD1,SD1,Signet toolbox - drawer 1,Yes,2026-03-26 12:12:53
SD2,SD2,Signet toolbox - drawer 2,Yes,2026-03-26 12:12:53
SD3,SD3,Signet toolbox - drawer 3,Yes,2026-03-26 12:12:53
SD4,SD4,Signet toolbox - drawer 4,Yes,2026-03-26 12:12:53
SD5,SD5,Signet toolbox - drawer 5,Yes,2026-03-26 12:12:53
SD6,SD6,Signet toolbox - drawer 6,Yes,2026-03-26 12:12:53
CD1,CD1,Computer area - drawer 1,Yes,2026-03-26 12:12:53
CD2,CD2,Computer area - drawer 2,Yes,2026-03-26 12:12:53
CD3,CD3,Computer area - drawer 3,Yes,2026-03-26 12:12:53
CT1,CT1,Cleaning table - drawer 1,Yes,2026-03-26 12:12:53
CT2,CT2,Cleaning table - drawer 2,Yes,2026-03-26 12:12:53
CT3,CT3,Cleaning table - drawer 3,Yes,2026-03-26 12:12:53
Mounted,MOUNTED,Installed on machine,Yes,2026-03-26 12:12:53
Floor -1,FLOOR_1,Emilio inventory,Yes,2026-03-26 12:12:53
