Event Type,Start DateTime,End DateTime,Description,Recurrence
Maintenance,2025-04-17 07:46:00,2025-04-17 18:15:00,Change coating,
Maintenance,2025-05-08 07:52:00,2025-05-08 11:15:00,,
Drawing,2025-05-09 07:52:00,2025-05-09 11:15:00,,
Stop,2025-05-10 07:52:00,2025-05-12 11:15:00,,
Management Event,2025-05-22 07:52:00,2025-05-22 11:15:00,,
Drawing,2025-05-07 09:51:00,2025-05-07 10:51:00,ORDER #0 | Priority: Low | Fiber: PM tiger | Preform: T0876 | Length: 300.0 m | Spools: 1 | Notes: nan,
Drawing,2026-01-29 09:52:00,2026-01-29 10:52:00,ORDER #0 | Priority: Low | Fiber: PM tiger | Preform: T0876 | Length: 300.0 m | Spools: 1 | Notes: nan,
Maintenance,2026-01-23 11:06:00,2026-01-23 11:06:00,fsdff,
Maintenance,2026-01-31 11:08:00,2026-01-31 16:00:00,,
Stop,2026-03-26 11:09:00,2026-03-31 11:09:00,,
Maintenance,2026-01-22 08:00:00,2026-01-22 16:00:00,WEELEND REGULAR MAINTANANCE,Weekly
Maintenance,2026-01-23 11:20:00,2026-01-23 17:45:00,helo,
Drawing,2026-01-23 08:00:00,2026-01-23 16:00:00,ORDER #5 | Priority: Low | Fiber:  | Preform:  | Length: 0.0 m | Spools: 1 | Notes: דגכגדכ,
Drawing,2026-01-24 08:00:00,2026-01-24 16:00:00,ORDER #10 | Priority: Low | Fiber: 4324 | Preform: 3432 | Length: 0.0 m | Spools: 1,
Drawing,2026-01-25 08:00:00,2026-01-25 16:00:00,ORDER #12 | Priority: Low | Fiber: fd111 | Preform: dsf11 | Length: 0.0 m | Spools: 1,
Drawing,2026-01-24 08:00:00,2026-01-24 16:00:00,ORDER #13 | Priority: Low | Fiber: P088888 | Preform: P088888 | Length: 0.0 m | Spools: 1,
Drawing,2026-01-25 08:00:00,2026-01-25 16:00:00,ORDER #0 | Priority: Low | Fiber: TMM | Preform: P0888 | Length: 0.0 m | Spools: 1 | Notes: sada,
Drawing,2026-01-25 08:00:00,2026-01-25 16:00:00,ORDER #1 | Priority: Low | Fiber: TMM TIGER | Preform: T0678 | Length: 0.0 m | Spools: 1,
Drawing,2026-01-30 08:00:00,2026-01-30 16:00:00,ORDER #2 | Priority: Low | Fiber: TMM | Preform: T0123 | Length: 0.0 m | Spools: 1,
