Parameter Name,Value,Units
Draw Name,P0253_oct_t1,
Draw Date,2025-09-02 10:06:00.277396,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.87359475456776,µm
Second Coating Diameter (Theoretical),551.3171589686438,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Preform Diameter,27.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,31.5,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.6,mm
Log File Name,P0253_oct_t1_02092025_170623.csv,
Zone 1 Start,2025-02-09 14:20:07.589000,
Zone 1 End,2025-02-09 14:28:54.589000,
Zone 1 Fibre Length at Start,0.15,km
Zone 1 Fibre Length at End,0.2,km
Zone 1 Pf Process Position at Start,45.38,mm
Zone 1 Pf Process Position at End,57.84,mm
Zone 1 Avg (Bare Fibre Diameter),429.65,µm
Zone 1 Min (Bare Fibre Diameter),428.9,µm
Zone 1 Max (Bare Fibre Diameter),430.4,µm
Zone 1 Avg (Coated Inner Diameter),491.07,µm
Zone 1 Min (Coated Inner Diameter),490.5,µm
Zone 1 Max (Coated Inner Diameter),491.5,µm
Zone 1 Avg (Coated Outer Diameter),573.03,µm
Zone 1 Min (Coated Outer Diameter),572.1,µm
Zone 1 Max (Coated Outer Diameter),574.0,µm
Zone 1 Avg (Capstan Speed),5.73,m/min
Zone 1 Min (Capstan Speed),5.66,m/min
Zone 1 Max (Capstan Speed),5.86,m/min
Zone 1 Avg (Tension N),61.34,g
Zone 1 Min (Tension N),60.31,g
Zone 1 Max (Tension N),62.79,g
Zone 1 Avg (Furnace DegC Actual),2049.99,C
Zone 1 Min (Furnace DegC Actual),2049.31,C
Zone 1 Max (Furnace DegC Actual),2050.65,C
Zone 2 Start,2025-02-09 14:34:01.589000,
Zone 2 End,2025-02-09 14:41:07.589000,
Zone 2 Fibre Length at Start,0.23,km
Zone 2 Fibre Length at End,0.04,km
Zone 2 Pf Process Position at Start,67.06,mm
Zone 2 Pf Process Position at End,79.35,mm
Zone 2 Avg (Bare Fibre Diameter),430.12,µm
Zone 2 Min (Bare Fibre Diameter),429.5,µm
Zone 2 Max (Bare Fibre Diameter),430.8,µm
Zone 2 Avg (Coated Inner Diameter),492.41,µm
Zone 2 Min (Coated Inner Diameter),492.0,µm
Zone 2 Max (Coated Inner Diameter),492.8,µm
Zone 2 Avg (Coated Outer Diameter),574.22,µm
Zone 2 Min (Coated Outer Diameter),572.9,µm
Zone 2 Max (Coated Outer Diameter),575.2,µm
Zone 2 Avg (Capstan Speed),7.08,m/min
Zone 2 Min (Capstan Speed),7.01,m/min
Zone 2 Max (Capstan Speed),7.2,m/min
Zone 2 Avg (Tension N),73.35,g
Zone 2 Min (Tension N),71.88,g
Zone 2 Max (Tension N),74.61,g
Zone 2 Avg (Furnace DegC Actual),2049.93,C
Zone 2 Min (Furnace DegC Actual),2048.63,C
Zone 2 Max (Furnace DegC Actual),2050.78,C
Zone 3 Start,2025-02-09 14:45:22.589000,
Zone 3 End,2025-02-09 14:54:27.589000,
Zone 3 Fibre Length at Start,0.07,km
Zone 3 Fibre Length at End,0.14,km
Zone 3 Pf Process Position at Start,86.97,mm
Zone 3 Pf Process Position at End,102.77,mm
Zone 3 Avg (Bare Fibre Diameter),430.55,µm
Zone 3 Min (Bare Fibre Diameter),429.9,µm
Zone 3 Max (Bare Fibre Diameter),431.4,µm
Zone 3 Avg (Coated Inner Diameter),492.2,µm
Zone 3 Min (Coated Inner Diameter),491.5,µm
Zone 3 Max (Coated Inner Diameter),492.9,µm
Zone 3 Avg (Coated Outer Diameter),574.18,µm
Zone 3 Min (Coated Outer Diameter),572.8,µm
Zone 3 Max (Coated Outer Diameter),575.6,µm
Zone 3 Avg (Capstan Speed),7.02,m/min
Zone 3 Min (Capstan Speed),6.82,m/min
Zone 3 Max (Capstan Speed),7.2,m/min
Zone 3 Avg (Tension N),83.88,g
Zone 3 Min (Tension N),81.04,g
Zone 3 Max (Tension N),86.24,g
Zone 3 Avg (Furnace DegC Actual),2039.95,C
Zone 3 Min (Furnace DegC Actual),2039.23,C
Zone 3 Max (Furnace DegC Actual),2040.84,C
