Parameter Name,Value,Units
Draw Name,P0343_OCT,
Draw Date,2025-08-20 08:27:47.072870,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.87359475456776,µm
Second Coating Diameter (Theoretical),551.3171589686438,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Log File Name,P0343_OCT_20082025_114906.csv,
Zone 1 Start,2025-08-20 11:43:51.716000,
Zone 1 End,2025-08-20 11:46:05.716000,
Zone 1 Fibre Length at Start,1.26,km
Zone 1 Fibre Length at End,1.4,km
Zone 1 Pf Process Position at Start,350.47,mm
Zone 1 Pf Process Position at End,389.22,mm
Zone 1 Avg (Bare Fibre Diameter),421.45,µm
Zone 1 Min (Bare Fibre Diameter),420.3,µm
Zone 1 Max (Bare Fibre Diameter),422.9,µm
Zone 1 Avg (Coated Inner Diameter),454.42,µm
Zone 1 Min (Coated Inner Diameter),451.4,µm
Zone 1 Max (Coated Inner Diameter),458.6,µm
Zone 1 Avg (Coated Outer Diameter),515.37,µm
Zone 1 Min (Coated Outer Diameter),506.9,µm
Zone 1 Max (Coated Outer Diameter),521.1,µm
Zone 1 Avg (Capstan Speed),64.02,m/min
Zone 1 Min (Capstan Speed),60.48,m/min
Zone 1 Max (Capstan Speed),68.64,m/min
Zone 1 Avg (Tension N),52.13,g
Zone 1 Min (Tension N),45.74,g
Zone 1 Max (Tension N),58.16,g
Zone 1 Avg (Furnace DegC Actual),2279.98,C
Zone 1 Min (Furnace DegC Actual),2279.36,C
Zone 1 Max (Furnace DegC Actual),2280.3,C
Last Fiber Position,1.42,km
TnM,,km
Cut,0.02,km
Keep,0.14,km
Log File Name,P0343_OCT_20082025_114906.csv,
Zone 1 Start,2025-08-20 11:43:51.716000,
Zone 1 End,2025-08-20 11:46:05.716000,
Zone 1 Fibre Length at Start,1.26,km
Zone 1 Fibre Length at End,1.4,km
Zone 1 Pf Process Position at Start,350.47,mm
Zone 1 Pf Process Position at End,389.22,mm
Zone 1 Avg (Bare Fibre Diameter),421.45,µm
Zone 1 Min (Bare Fibre Diameter),420.3,µm
Zone 1 Max (Bare Fibre Diameter),422.9,µm
Zone 1 Avg (Coated Inner Diameter),454.42,µm
Zone 1 Min (Coated Inner Diameter),451.4,µm
Zone 1 Max (Coated Inner Diameter),458.6,µm
Zone 1 Avg (Coated Outer Diameter),515.37,µm
Zone 1 Min (Coated Outer Diameter),506.9,µm
Zone 1 Max (Coated Outer Diameter),521.1,µm
