Parameter Name,Value,Units
Draw Name,P0498,
Draw Date,2025-05-06 10:04:08.436236,
Preform Diameter,16.7,mm
Tiger Cut,0.0,%
Selected Iris Diameter,23.0,mm
Entry Fiber Diameter,260.0,µm
First Coating Diameter (Theoretical),341.2496144069514,µm
Second Coating Diameter (Theoretical),404.38202868353187,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,0.0,µm
Second Coating Entry Die,0.0,µm
Primary Coating Temperature,38.0,°C
Secondary Coating Temperature,38.0,°C
Primary Die Diameter,429,µm
Secondary Die Diameter,471,µm
Entry Fiber Diameter,260.0,µm
First Coating Diameter (Theoretical),341.2496144069514,µm
Second Coating Diameter (Theoretical),404.38202868353187,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,500.0,µm
Second Coating Entry Die,550.0,µm
Primary Coating Temperature,38.0,°C
Secondary Coating Temperature,38.0,°C
Primary Die Diameter,429,µm
Secondary Die Diameter,471,µm
