Parameter Name,Value,Units
Draw Name,P0522_pre,
Draw Date,2026-01-26 08:38:09.198095,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.6783059665537,µm
Second Coating Diameter (Theoretical),551.5269297372753,µm
Primary Coating,DP-1032,
Secondary Coating,Coating_OF_136,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.6,mm
