Parameter Name,Value,Units
Draw Name,P0528JS1J,
Draw Date,2025-11-17 12:30:45.883982,
Entry Fiber Diameter,400.0,µm
First Coating Diameter (Theoretical),469.85052338273306,µm
Second Coating Diameter (Theoretical),551.3049883781413,µm
Primary Coating,Coating_OF_136,
Secondary Coating,DS-2015,
First Coating Entry Die,700.0,µm
Second Coating Entry Die,800.0,µm
Primary Coating Temperature,36.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,543,µm
Secondary Die Diameter,637,µm
Preform Diameter,26.5,mm
Tiger Cut,0.0,%
Selected Iris Diameter,31.5,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.62,mm
Log File Name,P0528JS1J_17112025_125716.csv,
Zone 1 Start,2025-11-17 11:13:26.572000,
Zone 1 End,2025-11-17 12:57:06.610000,
Zone 1 Fibre Length at Start,0.0,km
Zone 1 Fibre Length at End,0.52,km
Zone 1 Pf Process Position at Start,52.15,mm
Zone 1 Pf Process Position at End,203.61,mm
Zone 1 Avg (Bare Fibre Diameter),426.51,µm
Zone 1 Min (Bare Fibre Diameter),422.0,µm
Zone 1 Max (Bare Fibre Diameter),430.4,µm
Zone 1 Avg (Coated Inner Diameter),492.01,µm
Zone 1 Min (Coated Inner Diameter),0.0,µm
Zone 1 Max (Coated Inner Diameter),500.3,µm
Zone 1 Avg (Coated Outer Diameter),581.33,µm
Zone 1 Min (Coated Outer Diameter),576.2,µm
Zone 1 Max (Coated Outer Diameter),601.4,µm
Zone 1 Avg (Capstan Speed),4.99,m/min
Zone 1 Min (Capstan Speed),0.0,m/min
Zone 1 Max (Capstan Speed),9.98,m/min
Zone 1 Avg (Tension N),56.89,g
Zone 1 Min (Tension N),-0.51,g
Zone 1 Max (Tension N),60.26,g
Zone 1 Avg (Furnace DegC Actual),2062.38,C
Zone 1 Min (Furnace DegC Actual),1710.55,C
Zone 1 Max (Furnace DegC Actual),2066.77,C
Last Fiber Position,0.52,km
TnM,,km
Keep,0.52,km
