Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0TESTCSVF_1,
Order__Draw Date,2026-02-24 07:51:29,
Order__Order Index,20,
Order__Preform Number,P0TESTCSV,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,OHAD,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),28.0,mm
Order__Required Length (m) (for T&M+costumer),0.1099999999999999,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter (µm),650.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),40.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DP-1032,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-02-24 07:53:47,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,28.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,615.7521601035994,mm^2
Process__Adjusted Area,615.7521601035994,mm^2
Process__Effective Preform Diameter,28.0,mm
Process__Selected Iris Diameter,32.0,mm
Process__Iris Gap Area,188.49555921538763,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,560.0,µm
Process__Target Second Coating Diameter,650.0,µm
Process__First Coating Diameter (Theoretical),517.3539976926775,µm
Process__Second Coating Diameter (Theoretical),646.5257149608435,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DP-1032,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,641,µm
Process__Secondary Die Diameter,785,µm
Process__Primary Die Name,Die_641,
Process__Secondary Die Name,Die_785,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,40.0,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN2,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-02-24 07:51:29,
Dashboard Log File,,
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
,,
,,
### WINDER & LENGTH,,
,,
Drum | Selected,BN2,
Fiber Length | End (log end),,km
,,
—,—,
CUT/SAVE Plan Source,P0TESTCSVF_1.csv,
AUTO Plan Mode,,
Zone Length Column (log),Fibre Length,
Fiber Length End (log end),,km
Fiber Length Min (log),,km
Fiber Length Max (log),,km
T&M Coordinate System,,
Good Zones Order,,
Preform Length After Draw,,cm
Done Description,,
Done Timestamp,,
