Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0TESTCSVfiNF_1,
Order__Draw Date,2026-02-24 20:57:51,
Order__Order Index,27,
Order__Preform Number,P0TESTCSVfiN,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,OHAD,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),28.0,mm
Order__Required Length (m) (for T&M+costumer),0.03,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter (µm),650.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),40.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DP-1032,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,DS,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-02-24 20:57:56,
Process__Preform Diameter,,mm
Process__Preform Shape,Octagonal,
Process__Octagonal Preform,1,bool
Process__Octagonal F2F,28.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,649.486865801013,mm^2
Process__Adjusted Area,649.486865801013,mm^2
Process__Effective Preform Diameter,28.756779397629867,mm
Process__Selected Iris Diameter,33.0,mm
Process__Iris Gap Area,205.81173413880822,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,560.0,µm
Process__Target Second Coating Diameter,650.0,µm
Process__First Coating Diameter (Theoretical),517.3539976926775,µm
Process__Second Coating Diameter (Theoretical),646.5257149608435,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DP-1032,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,641,µm
Process__Secondary Die Diameter,785,µm
Process__Primary Die Name,Die_641,
Process__Secondary Die Name,Die_785,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,40.0,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN1,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-02-24 20:58:34,
Dashboard Log File,newst_test23.csv,
Good Zones Count,3,count
Good Zones X Column,Date/Time,
Zone 1 | Start,19/11/2024 13:56:13794,index/label
Zone 1 | End,19/11/2024 14:02:38797,index/label
Zone 1 | Bare Fibre Diameter | Avg,400.22333467923676,
Zone 1 | Bare Fibre Diameter | Min,395.709991455078,
Zone 1 | Bare Fibre Diameter | Max,406.489990234375,
Zone 1 | Diameter Error | Avg,10.050000190734899,
Zone 1 | Diameter Error | Min,10.0500001907349,
Zone 1 | Diameter Error | Max,10.0500001907349,
Zone 1 | Pf Process Position | Avg,81.01272348257213,
Zone 1 | Pf Process Position | Min,66.9281311035156,
Zone 1 | Pf Process Position | Max,95.1054992675781,
Zone 1 | Capstan Speed | Avg,18.825846647604916,
Zone 1 | Capstan Speed | Min,18.3359985351563,
Zone 1 | Capstan Speed | Max,20.0639991760254,
Zone 1 | Fibre Length | Avg,0.25134806182139957,
Zone 1 | Fibre Length | Min,0.190450400114059,
Zone 1 | Fibre Length | Max,0.311292797327042,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Furnace DegC Actual | Avg,2040.192866398738,
Zone 1 | Furnace DegC Actual | Min,2039.09375,
Zone 1 | Furnace DegC Actual | Max,2045.40930175781,
Zone 1 | Furnace Power | Avg,20.57771232800606,
Zone 1 | Furnace Power | Min,20.0672092437744,
Zone 1 | Furnace Power | Max,20.8760089874268,
Zone 1 | Preform Speed Actual | Avg,4.389402218354054,
Zone 1 | Preform Speed Actual | Min,4.38068580627441,
Zone 1 | Preform Speed Actual | Max,4.39611434936523,
Zone 1 | Furnace MFC1 Actual | Avg,4.9821281005174685,
Zone 1 | Furnace MFC1 Actual | Min,4.98199987411499,
