Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0testcsv3F_1,
Order__Draw Date,2026-02-24 12:42:22,
Order__Order Index,22,
Order__Preform Number,P0testcsv3,
Order__Fiber Project,CIVAN - LARA,
Order__Priority,Normal,
Order__Order Opener,OHAD,
Order__Fiber Geometry Type,PANDA - PM,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),0.02,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),0.02,µm
Order__Fiber Diameter Tol (± µm),15.0,µm
Order__Main Coating Diameter (µm),0.02,µm
Order__Main Coating Diameter Tol (± µm),15.0,µm
Order__Secondary Coating Diameter (µm),0.02,µm
Order__Secondary Coating Diameter Tol (± µm),15.0,µm
Order__Tension (g),0.02,g
Order__Draw Speed (m/min),0.02,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DS-2042,
Order__Main Coating Temperature (°C),26.5,°C
Order__Secondary Coating Temperature (°C),26.5,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-02-24 12:42:52,
Process__Preform Diameter,28.0,mm
Process__Preform Shape,Circular,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,1,bool
Process__Iris Mode,PM Auto,
Process__Base Area,615.7521601035994,mm^2
Process__Adjusted Area,615.7521601035994,mm^2
Process__Effective Preform Diameter,28.0,mm
Process__Selected Iris Diameter,37.0,mm
Process__Iris Gap Area,459.45792558750736,mm^2
Process__Entry Fiber Diameter,0.02,µm
Process__Target First Coating Diameter,0.02,µm
Process__Target Second Coating Diameter,0.02,µm
Process__First Coating Diameter (Theoretical),194.9243191296665,µm
Process__Second Coating Diameter (Theoretical),194.9243191296665,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DS-2042,
Process__Primary Coating Temperature,26.5,°C
Process__Secondary Coating Temperature,26.5,°C
Process__Primary Die Diameter,110,µm
Process__Secondary Die Diameter,110,µm
Process__Primary Die Name,Die_110,
Process__Secondary Die Name,Die_110,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,0.02,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN1,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-02-24 12:43:37,
Dashboard Log File,newst_test23.csv,
Good Zones Count,1,count
Good Zones X Column,Date/Time,
Zone 1 | Start,19/11/2024 13:40:58776,index/label
Zone 1 | End,19/11/2024 13:58:23807,index/label
Zone 1 | Bare Fibre Diameter | Avg,379.68466709681917,
Zone 1 | Bare Fibre Diameter | Max,410.040008544922,
Zone 1 | Bare Fibre Diameter | Min,292.0,
Zone 1 | Cane Speed Actual | Avg,0.0,
Zone 1 | Cane Speed Actual | Max,0.0,
Zone 1 | Cane Speed Actual | Min,0.0,
Zone 1 | Capstan Speed | Avg,10.340114332380749,
Zone 1 | Capstan Speed | Max,20.5440006256104,
Zone 1 | Capstan Speed | Min,4.89600038528442,
Zone 1 | Coated Inner Diameter | Avg,472.890476335798,
Zone 1 | Coated Inner Diameter | Max,491.0,
Zone 1 | Coated Inner Diameter | Min,431.0,
Zone 1 | Coated Outer Diameter | Avg,2.0,
Zone 1 | Coated Outer Diameter | Max,2.0,
Zone 1 | Coated Outer Diameter | Min,2.0,
Zone 1 | Diameter Deviation Gauge 2 | Avg,-20.258761894924653,
