Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0trtewtewrewrF_1,
Order__Draw Date,2026-03-02 18:24:15,
Order__Order Index,4,
Order__Preform Number,P0trtewtewrewr,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,D,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),21.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),0.02,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,D,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-03-02 18:24:19,
Process__Preform Diameter,16.0,mm
Process__Preform Shape,Tiger Cut,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,,mm
Process__Tiger Preform,1,bool
Process__Tiger Cut,21.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,201.06192982974676,mm^2
Process__Adjusted Area,158.83892456549995,mm^2
Process__Effective Preform Diameter,14.221111067704943,mm
Process__Selected Iris Diameter,21.5,mm
Process__Iris Gap Area,204.2113764649705,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,80.0,µm
Process__Target Second Coating Diameter,110.0,µm
Process__First Coating Diameter (Theoretical),80.56343752013228,µm
Process__Second Coating Diameter (Theoretical),108.91161551997533,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,36.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,130,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_130,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,50.0,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN1,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-03-03 01:05:31,
Dashboard Log File,newst_test23.csv,
Good Zones Count,3,count
Good Zones X Column,Date/Time,
Zone 1 | Start,19/11/2024 13:59:38804,Date/Time
Zone 1 | End,19/11/2024 14:05:58771,Date/Time
Zone 1 | Bare Fibre Diameter | Avg,401.29766330471296,
Zone 1 | Bare Fibre Diameter | Min,395.709991455078,
Zone 1 | Bare Fibre Diameter | Max,409.040008544922,
Zone 1 | Diameter Error | Avg,10.050000190734899,
Zone 1 | Diameter Error | Min,10.0500001907349,
Zone 1 | Diameter Error | Max,10.0500001907349,
Zone 1 | Pf Process Position | Avg,95.83281202440142,
Zone 1 | Pf Process Position | Min,81.9276428222656,
Zone 1 | Pf Process Position | Max,109.736328125,
Zone 1 | Capstan Speed | Avg,19.17755899800882,
Zone 1 | Capstan Speed | Min,18.6240005493164,
Zone 1 | Capstan Speed | Max,20.3519992828369,
Zone 1 | Fibre Length | Avg,0.31504402648318897,
Zone 1 | Fibre Length | Min,0.255267202854156,
Zone 1 | Fibre Length | Max,0.376696407794952,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Furnace DegC Actual | Avg,2040.0239035866473,
Zone 1 | Furnace DegC Actual | Min,2039.09375,
Zone 1 | Furnace DegC Actual | Max,2041.109375,
Zone 1 | Furnace Power | Avg,20.65665913866712,
Zone 1 | Furnace Power | Min,20.4028587341309,
Zone 1 | Furnace Power | Max,20.8760089874268,
Zone 1 | Preform Speed Actual | Avg,4.389372881356772,
Zone 1 | Preform Speed Actual | Min,4.38205718994141,
Zone 1 | Preform Speed Actual | Max,4.39611434936523,
Zone 1 | Furnace MFC1 Actual | Avg,4.982051836979854,
Zone 1 | Furnace MFC1 Actual | Min,4.98000001907349,
Zone 1 | Furnace MFC1 Actual | Max,4.98400020599365,
Zone 1 | Furnace MFC2 Actual | Avg,0.9852207674608601,
Zone 1 | Furnace MFC2 Actual | Min,0.983999967575073,
Zone 1 | Furnace MFC2 Actual | Max,0.98800003528595,
Zone 1 | Furnace MFC3 Actual | Avg,4.953688330464548,
Zone 1 | Furnace MFC3 Actual | Min,4.9520001411438,
Zone 1 | Furnace MFC3 Actual | Max,4.9539999961853,
Zone 1 | Furnace MFC4 Actual | Avg,0.9844986997641528,
Zone 1 | Furnace MFC4 Actual | Min,0.984000027179718,
Zone 1 | Furnace MFC4 Actual | Max,0.984799981117249,
Zone 1 | Cane Speed Actual | Avg,0.0,
Zone 1 | Cane Speed Actual | Min,0.0,
Zone 1 | Cane Speed Actual | Max,0.0,
Zone 1 | Tension N | Avg,62.149415845994824,
Zone 1 | Tension N | Min,57.9121742248535,
Zone 1 | Tension N | Max,66.8222503662109,
Zone 1 | Trend Marker | Avg,0.0,
Zone 1 | Trend Marker | Min,0.0,
Zone 1 | Trend Marker | Max,0.0,
Zone 1 | Coated Outer Diameter | Avg,2.0,
Zone 1 | Coated Outer Diameter | Min,2.0,
Zone 1 | Coated Outer Diameter | Max,2.0,
Zone 1 | Furnace MFC1 Set | Avg,5.0,
Zone 1 | Furnace MFC1 Set | Min,5.0,
Zone 1 | Furnace MFC1 Set | Max,5.0,
Zone 1 | Furnace MFC3 Set | Avg,5.0,
Zone 1 | Furnace MFC3 Set | Min,5.0,
Zone 1 | Furnace MFC3 Set | Max,5.0,
Zone 1 | Furnace MFC4 Set | Avg,1.0,
Zone 1 | Furnace MFC4 Set | Min,1.0,
Zone 1 | Furnace MFC4 Set | Max,1.0,
Zone 1 | Furnace MFC2 Set | Avg,1.0,
Zone 1 | Furnace MFC2 Set | Min,1.0,
Zone 1 | Furnace MFC2 Set | Max,1.0,
Zone 1 | Furnace DegC Set | Avg,2040.0,
Zone 1 | Furnace DegC Set | Min,2040.0,
Zone 1 | Furnace DegC Set | Max,2040.0,
Zone 1 | UV 1 Intensity | Avg,0.0,
Zone 1 | UV 1 Intensity | Min,0.0,
Zone 1 | UV 1 Intensity | Max,0.0,
Zone 1 | UV 2 Intensity | Avg,0.0,
Zone 1 | UV 2 Intensity | Min,0.0,
Zone 1 | UV 2 Intensity | Max,0.0,
Zone 1 | UV1 Status | Avg,4.0,
Zone 1 | UV1 Status | Min,4.0,
Zone 1 | UV1 Status | Max,4.0,
Zone 1 | UV2 Status | Avg,4.0,
Zone 1 | UV2 Status | Min,4.0,
Zone 1 | UV2 Status | Max,4.0,
Zone 1 | Poly X Diameter | Avg,0.0,
Zone 1 | Poly X Diameter | Min,0.0,
Zone 1 | Poly X Diameter | Max,0.0,
Zone 1 | Poly Y Diameter | Avg,0.0,
Zone 1 | Poly Y Diameter | Min,0.0,
Zone 1 | Poly Y Diameter | Max,0.0,
Zone 1 | Poly Major Value | Avg,0.0,
Zone 1 | Poly Major Value | Min,0.0,
Zone 1 | Poly Major Value | Max,0.0,
Zone 1 | Poly Minor Value | Avg,0.9419794678688052,
Zone 1 | Poly Minor Value | Min,0.941979467868805,
Zone 1 | Poly Minor Value | Max,0.941979467868805,
Zone 1 | Diameter Deviation Gauge 2 | Avg,1.294545447115194,
Zone 1 | Diameter Deviation Gauge 2 | Min,-4.28999996185303,
Zone 1 | Diameter Deviation Gauge 2 | Max,9.03999996185303,
Zone 1 | Coated Inner Diameter | Avg,485.2337694044237,
Zone 1 | Coated Inner Diameter | Min,483.000030517578,
Zone 1 | Coated Inner Diameter | Max,488.0,
Zone 2 | Start,19/11/2024 13:44:38786,Date/Time
Zone 2 | End,19/11/2024 13:50:38769,Date/Time
Zone 2 | Bare Fibre Diameter | Avg,385.8178083863977,
Zone 2 | Bare Fibre Diameter | Min,345.0,
Zone 2 | Bare Fibre Diameter | Max,405.170013427734,
Zone 2 | Diameter Error | Avg,10.0500001907349,
Zone 2 | Diameter Error | Min,10.0500001907349,
Zone 2 | Diameter Error | Max,10.0500001907349,
Zone 2 | Pf Process Position | Avg,38.133894410851894,
Zone 2 | Pf Process Position | Min,34.8089904785156,
Zone 2 | Pf Process Position | Max,42.4068603515625,
Zone 2 | Capstan Speed | Avg,5.089315094359936,
Zone 2 | Capstan Speed | Min,4.89600038528442,
Zone 2 | Capstan Speed | Max,5.66400003433228,
Zone 2 | Fibre Length | Avg,0.08540250371172003,
Zone 2 | Fibre Length | Min,0.0703356042504311,
Zone 2 | Fibre Length | Max,0.100870400667191,
Zone 2 | Good Fibre State | Avg,0.0,
Zone 2 | Good Fibre State | Min,0.0,
Zone 2 | Good Fibre State | Max,0.0,
Zone 2 | Furnace DegC Actual | Avg,2050.00574566567,
Zone 2 | Furnace DegC Actual | Min,2049.44067382813,
Zone 2 | Furnace DegC Actual | Max,2050.38134765625,
Zone 2 | Furnace Power | Avg,20.897967743546996,
Zone 2 | Furnace Power | Min,20.7619915008545,
Zone 2 | Furnace Power | Max,21.0764141082764,
Zone 2 | Preform Speed Actual | Avg,1.278843051766695,
Zone 2 | Preform Speed Actual | Min,1.08582866191864,
Zone 2 | Preform Speed Actual | Max,4.39611434936523,
Zone 2 | Furnace MFC1 Actual | Avg,4.9820546777281045,
Zone 2 | Furnace MFC1 Actual | Min,4.98199987411499,
Zone 2 | Furnace MFC1 Actual | Max,4.98400020599365,
Zone 2 | Furnace MFC2 Actual | Avg,0.9853972515014751,
Zone 2 | Furnace MFC2 Actual | Min,0.983999967575073,
Zone 2 | Furnace MFC2 Actual | Max,0.986000001430511,
Zone 2 | Furnace MFC3 Actual | Avg,4.954054786734384,
Zone 2 | Furnace MFC3 Actual | Min,4.9520001411438,
Zone 2 | Furnace MFC3 Actual | Max,4.95599985122681,
Zone 2 | Furnace MFC4 Actual | Avg,0.9843726084656912,
Zone 2 | Furnace MFC4 Actual | Min,0.984000027179718,
Zone 2 | Furnace MFC4 Actual | Max,0.984799981117249,
Zone 2 | Cane Speed Actual | Avg,0.0,
Zone 2 | Cane Speed Actual | Min,0.0,
Zone 2 | Cane Speed Actual | Max,0.0,
Zone 2 | Tension N | Avg,13.111413485383341,
Zone 2 | Tension N | Min,-0.0277471542358398,
Zone 2 | Tension N | Max,16.4054183959961,
Zone 2 | Trend Marker | Avg,0.0,
Zone 2 | Trend Marker | Min,0.0,
Zone 2 | Trend Marker | Max,0.0,
Zone 2 | Coated Outer Diameter | Avg,2.0,
Zone 2 | Coated Outer Diameter | Min,2.0,
Zone 2 | Coated Outer Diameter | Max,2.0,
Zone 2 | Furnace MFC1 Set | Avg,5.0,
Zone 2 | Furnace MFC1 Set | Min,5.0,
Zone 2 | Furnace MFC1 Set | Max,5.0,
Zone 2 | Furnace MFC3 Set | Avg,5.0,
Zone 2 | Furnace MFC3 Set | Min,5.0,
Zone 2 | Furnace MFC3 Set | Max,5.0,
Zone 2 | Furnace MFC4 Set | Avg,1.0,
Zone 2 | Furnace MFC4 Set | Min,1.0,
Zone 2 | Furnace MFC4 Set | Max,1.0,
Zone 2 | Furnace MFC2 Set | Avg,1.0,
Zone 2 | Furnace MFC2 Set | Min,1.0,
Zone 2 | Furnace MFC2 Set | Max,1.0,
Zone 2 | Furnace DegC Set | Avg,2050.0,
Zone 2 | Furnace DegC Set | Min,2050.0,
Zone 2 | Furnace DegC Set | Max,2050.0,
Zone 2 | UV 1 Intensity | Avg,0.0,
Zone 2 | UV 1 Intensity | Min,0.0,
Zone 2 | UV 1 Intensity | Max,0.0,
Zone 2 | UV 2 Intensity | Avg,0.0,
Zone 2 | UV 2 Intensity | Min,0.0,
Zone 2 | UV 2 Intensity | Max,0.0,
Zone 2 | UV1 Status | Avg,4.0,
Zone 2 | UV1 Status | Min,4.0,
