Parameter Name,Value,Units
Draw Name,Pre_T_20,
Draw Date,2025-08-12 08:56:28.362638,
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),88.91659872345156,µm
Second Coating Diameter (Theoretical),113.4913155743561,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,200.0,µm
Second Coating Entry Die,200.0,µm
Primary Coating Temperature,28.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,150,µm
Secondary Die Diameter,140,µm
Preform Diameter,16.5,mm
Tiger Cut,22.0,%
Selected Iris Diameter,21.5,mm
P Gain (Diameter Control),0.4,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.128,mm
