Parameter Name,Value,Units
Draw Name,SBS02,
Draw Date,2025-12-25 08:44:34.036704,
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95878114213616,µm
Second Coating Diameter (Theoretical),247.25440345300026,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,350.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,36.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,344,µm
Preform Diameter,28.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,32.0,mm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.294,mm
