Parameter Name,Value,Units
Draw Name,SBS_1UV,
Draw Date,2026-01-18 13:21:42.752996,
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),93.03860838528465,µm
Second Coating Diameter (Theoretical),111.00389351917154,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,250.0,µm
Second Coating Entry Die,200.0,µm
Primary Coating Temperature,45.0,°C
Secondary Coating Temperature,36.0,°C
Primary Die Diameter,160,µm
Secondary Die Diameter,130,µm
Preform Diameter,16.5,mm
Tiger Cut,0.0,%
Selected Iris Diameter,23.0,mm
P Gain (Diameter Control),0.4,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.13,mm
Log File Name,SBS_1UV_18012026_162427.csv,
Zone 1 Start,2026-01-18 15:23:21.720000,
Zone 1 End,2026-01-18 15:34:37.720000,
Zone 1 Fibre Length at Start,0.03,km
Zone 1 Fibre Length at End,0.47,km
Zone 1 Pf Process Position at Start,18.92,mm
Zone 1 Pf Process Position at End,21.54,mm
Zone 1 Avg (Bare Fibre Diameter),40.0,µm
Zone 1 Min (Bare Fibre Diameter),39.6,µm
Zone 1 Max (Bare Fibre Diameter),40.4,µm
Zone 1 Avg (Coated Inner Diameter),100.12,µm
Zone 1 Min (Coated Inner Diameter),99.9,µm
Zone 1 Max (Coated Inner Diameter),100.5,µm
Zone 1 Avg (Coated Outer Diameter),117.9,µm
Zone 1 Min (Coated Outer Diameter),117.2,µm
Zone 1 Max (Coated Outer Diameter),118.6,µm
Zone 1 Avg (Capstan Speed),38.65,m/min
Zone 1 Min (Capstan Speed),37.25,m/min
Zone 1 Max (Capstan Speed),39.84,m/min
Zone 1 Avg (Tension N),-0.01,g
Zone 1 Min (Tension N),-0.06,g
Zone 1 Max (Tension N),0.04,g
Zone 1 Avg (Furnace DegC Actual),2050.07,C
Zone 1 Min (Furnace DegC Actual),2049.04,C
Zone 1 Max (Furnace DegC Actual),2050.92,C
Zone 2 Start,2026-01-18 15:40:28.720000,
Zone 2 End,2026-01-18 15:49:37.720000,
Zone 2 Fibre Length at Start,0.7,km
Zone 2 Fibre Length at End,1.06,km
Zone 2 Pf Process Position at Start,22.93,mm
Zone 2 Pf Process Position at End,25.07,mm
Zone 2 Avg (Bare Fibre Diameter),39.99,µm
Zone 2 Min (Bare Fibre Diameter),39.6,µm
Zone 2 Max (Bare Fibre Diameter),40.4,µm
Zone 2 Avg (Coated Inner Diameter),100.18,µm
Zone 2 Min (Coated Inner Diameter),99.8,µm
Zone 2 Max (Coated Inner Diameter),100.5,µm
Zone 2 Avg (Coated Outer Diameter),117.87,µm
Zone 2 Min (Coated Outer Diameter),116.7,µm
Zone 2 Max (Coated Outer Diameter),118.5,µm
Zone 2 Avg (Capstan Speed),39.46,m/min
Zone 2 Min (Capstan Speed),39.07,m/min
Zone 2 Max (Capstan Speed),39.84,m/min
Zone 2 Avg (Tension N),-0.05,g
Zone 2 Min (Tension N),-0.08,g
Zone 2 Max (Tension N),-0.0,g
Zone 2 Avg (Furnace DegC Actual),2049.96,C
Zone 2 Min (Furnace DegC Actual),2049.57,C
Zone 2 Max (Furnace DegC Actual),2050.52,C
Zone 3 Start,2026-01-18 15:53:36.720000,
Zone 3 End,2026-01-18 16:04:37.720000,
Zone 3 Fibre Length at Start,1.22,km
Zone 3 Fibre Length at End,1.65,km
Zone 3 Pf Process Position at Start,26.03,mm
Zone 3 Pf Process Position at End,28.6,mm
Zone 3 Avg (Bare Fibre Diameter),40.0,µm
Zone 3 Min (Bare Fibre Diameter),39.7,µm
Zone 3 Max (Bare Fibre Diameter),40.4,µm
Zone 3 Avg (Coated Inner Diameter),100.11,µm
Zone 3 Min (Coated Inner Diameter),99.7,µm
Zone 3 Max (Coated Inner Diameter),100.3,µm
Zone 3 Avg (Coated Outer Diameter),117.99,µm
Zone 3 Min (Coated Outer Diameter),117.0,µm
Zone 3 Max (Coated Outer Diameter),118.6,µm
Zone 3 Avg (Capstan Speed),39.12,m/min
Zone 3 Min (Capstan Speed),38.69,m/min
Zone 3 Max (Capstan Speed),39.74,m/min
Zone 3 Avg (Tension N),-0.12,g
Zone 3 Min (Tension N),-0.16,g
Zone 3 Max (Tension N),-0.07,g
Zone 3 Avg (Furnace DegC Actual),2050.03,C
Zone 3 Min (Furnace DegC Actual),2048.9,C
Zone 3 Max (Furnace DegC Actual),2050.52,C
Zone 4 Start,2026-01-18 16:10:29.720000,
Zone 4 End,2026-01-18 16:21:02.720000,
Zone 4 Fibre Length at Start,1.88,km
Zone 4 Fibre Length at End,2.29,km
Zone 4 Pf Process Position at Start,29.99,mm
Zone 4 Pf Process Position at End,32.46,mm
Zone 4 Avg (Bare Fibre Diameter),39.99,µm
Zone 4 Min (Bare Fibre Diameter),39.6,µm
Zone 4 Max (Bare Fibre Diameter),40.6,µm
Zone 4 Avg (Coated Inner Diameter),100.21,µm
Zone 4 Min (Coated Inner Diameter),99.9,µm
Zone 4 Max (Coated Inner Diameter),100.5,µm
Zone 4 Avg (Coated Outer Diameter),117.79,µm
Zone 4 Min (Coated Outer Diameter),116.9,µm
Zone 4 Max (Coated Outer Diameter),118.4,µm
Zone 4 Avg (Capstan Speed),38.86,m/min
Zone 4 Min (Capstan Speed),38.5,m/min
Zone 4 Max (Capstan Speed),39.36,m/min
Zone 4 Avg (Tension N),-0.16,g
Zone 4 Min (Tension N),-0.19,g
Zone 4 Max (Tension N),-0.12,g
Zone 4 Avg (Furnace DegC Actual),2050.07,C
Zone 4 Min (Furnace DegC Actual),2049.57,C
Zone 4 Max (Furnace DegC Actual),2050.52,C
Last Fiber Position,2.38,km
TnM,,km
Cut,1.91,km
Keep,0.43,km
Cut,1.32,km
Keep,0.36,km
Cut,0.73,km
Keep,0.43,km
Cut,0.09,km
Keep,0.41,km
