Parameter Name,Value,Units
Draw Name,S_1550_pre7,
Draw Date,2025-07-23 09:37:10.354729,
Preform Diameter,44.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,45.0,mm
Entry Fiber Diameter,125.0,µm
First Coating Diameter (Theoretical),161.95877942130534,µm
Second Coating Diameter (Theoretical),231.96861169380566,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,350.0,µm
Second Coating Entry Die,500.0,µm
Primary Coating Temperature,44.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,202,µm
Secondary Die Diameter,310,µm
P Gain (Diameter Control),1.0,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.3,mm
