Parameter Name,Value,Units
Draw Name,T056_BL_2,
Draw Date,2025-09-21 12:27:00.474396,
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),93.03861242922716,µm
Second Coating Diameter (Theoretical),111.00389594990236,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,250.0,µm
Second Coating Entry Die,200.0,µm
Primary Coating Temperature,40.0,°C
Secondary Coating Temperature,28.0,°C
Primary Die Diameter,160,µm
Secondary Die Diameter,130,µm
Preform Diameter,17.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,24.5,mm
P Gain (Diameter Control),0.4,
I Gain (Diameter Control),1.0,
TF Mode,Winder,
Increment TF Value,0.129,mm
Log File Name,T056_BL_2_21092025_164521.csv,
Zone 1 Start,2025-09-21 16:00:55.801000,
Zone 1 End,2025-09-21 16:10:37.801000,
Zone 1 Fibre Length at Start,0.09,km
Zone 1 Fibre Length at End,0.98,km
Zone 1 Pf Process Position at Start,30.08,mm
Zone 1 Pf Process Position at End,34.81,mm
Zone 1 Avg (Bare Fibre Diameter),39.99,µm
Zone 1 Min (Bare Fibre Diameter),39.8,µm
Zone 1 Max (Bare Fibre Diameter),40.3,µm
Zone 1 Avg (Coated Inner Diameter),101.95,µm
Zone 1 Min (Coated Inner Diameter),101.7,µm
Zone 1 Max (Coated Inner Diameter),102.3,µm
Zone 1 Avg (Coated Outer Diameter),117.5,µm
Zone 1 Min (Coated Outer Diameter),116.9,µm
Zone 1 Max (Coated Outer Diameter),118.1,µm
Zone 1 Avg (Capstan Speed),93.85,m/min
Zone 1 Min (Capstan Speed),93.02,m/min
Zone 1 Max (Capstan Speed),94.66,m/min
Zone 1 Avg (Tension N),-0.14,g
Zone 1 Min (Tension N),-0.19,g
Zone 1 Max (Tension N),-0.1,g
Zone 1 Avg (Furnace DegC Actual),2220.04,C
Zone 1 Min (Furnace DegC Actual),2218.89,C
Zone 1 Max (Furnace DegC Actual),2220.5,C
Zone 2 Start,2025-09-21 16:27:20.801000,
Zone 2 End,2025-09-21 16:41:23.801000,
Zone 2 Fibre Length at Start,2.54,km
Zone 2 Fibre Length at End,3.79,km
Zone 2 Pf Process Position at Start,43.2,mm
Zone 2 Pf Process Position at End,50.14,mm
Zone 2 Avg (Bare Fibre Diameter),40.0,µm
Zone 2 Min (Bare Fibre Diameter),39.8,µm
Zone 2 Max (Bare Fibre Diameter),40.4,µm
Zone 2 Avg (Coated Inner Diameter),103.0,µm
Zone 2 Min (Coated Inner Diameter),102.7,µm
Zone 2 Max (Coated Inner Diameter),103.2,µm
Zone 2 Avg (Coated Outer Diameter),116.44,µm
Zone 2 Min (Coated Outer Diameter),116.0,µm
Zone 2 Max (Coated Outer Diameter),117.0,µm
Zone 2 Avg (Capstan Speed),90.21,m/min
Zone 2 Min (Capstan Speed),88.8,m/min
Zone 2 Max (Capstan Speed),91.58,m/min
Zone 2 Avg (Tension N),-0.14,g
Zone 2 Min (Tension N),-0.2,g
Zone 2 Max (Tension N),-0.07,g
Zone 2 Avg (Furnace DegC Actual),2219.98,C
Zone 2 Min (Furnace DegC Actual),2219.02,C
Zone 2 Max (Furnace DegC Actual),2221.04,C
Last Fiber Position,4.05,km
TnM,,km
Cut,3.07,km
Keep,0.89,km
Cut,0.26,km
Keep,1.26,km
