Parameter Name,Value,Units
Draw Name,T058_NC,
Draw Date,2025-07-13 12:27:08.062338,
Preform Diameter,17.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,23.5,mm
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),88.91658399644209,µm
Second Coating Diameter (Theoretical),113.49130628135967,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,200.0,µm
Second Coating Entry Die,200.0,µm
Primary Coating Temperature,47.0,°C
Secondary Coating Temperature,44.0,°C
Primary Die Diameter,150,µm
Secondary Die Diameter,140,µm
