Parameter Name,Value,Units,
Draw Name,T062_BL_1,,
Draw Date,2025-09-30 08:21:21.377323,,
Entry Fiber Diameter,40,µm,
First Coating Diameter (Theoretical),93.0386083853,µm,
Second Coating Diameter (Theoretical),111.0038935192,µm,
Primary Coating,DP-1032,,
Secondary Coating,DS-2015,,
First Coating Entry Die,250,µm,
Second Coating Entry Die,200,µm,
Primary Coating Temperature,45,°C,
Secondary Coating Temperature,36,°C,
Primary Die Diameter,160,µm,
Secondary Die Diameter,130,µm,
Preform Diameter,17,mm,
Tiger Cut,15,%,
Selected Iris Diameter,22.5,mm,
P Gain (Diameter Control),0.4,,
I Gain (Diameter Control),1,,
TF Mode,Winder,,
Increment TF Value,0.129,mm,
Log File Name,T062_BL_1_30092025_111324.csv,,
Zone 1 Start,2025-09-30 10:59:29.440000,,
Zone 1 End,2025-09-30 11:01:48.440000,,
Zone 1 Fibre Length at Start,1.14,km,
Zone 1 Fibre Length at End,1.35,km,
Zone 1 Pf Process Position at Start,16.28,mm,
Zone 1 Pf Process Position at End,18.15,mm,
Zone 1 Avg (Bare Fibre Diameter),40.07,µm,
Zone 1 Min (Bare Fibre Diameter),39.1,µm,
Zone 1 Max (Bare Fibre Diameter),40.6,µm,
Zone 1 Avg (Coated Inner Diameter),97.56,µm,
Zone 1 Min (Coated Inner Diameter),96.9,µm,
Zone 1 Max (Coated Inner Diameter),98.3,µm,
Zone 1 Avg (Coated Outer Diameter),116.55,µm,
Zone 1 Min (Coated Outer Diameter),116,µm,
Zone 1 Max (Coated Outer Diameter),118,µm,
Zone 1 Avg (Capstan Speed),92.97,m/min,
Zone 1 Min (Capstan Speed),85.54,m/min,
Zone 1 Max (Capstan Speed),99.65,m/min,
Zone 1 Avg (Tension N),-0.12,g,
Zone 1 Min (Tension N),-0.15,g,
Zone 1 Max (Tension N),-0.08,g,
Zone 1 Avg (Furnace DegC Actual),2250.05,C,
Zone 1 Min (Furnace DegC Actual),2249.26,C,
Zone 1 Max (Furnace DegC Actual),2250.2,C,
Last Fiber Position,1.49,km,1.41km
TnM,,km,
Cut,0.14,km,
Keep,0.21,km,
