Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,T0testF_1,
Order__Draw Date,2026-02-22 07:52:02,
Order__Order Index,19,
Order__Preform Number,T0test,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,Ohad,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),21.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),0.01,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),40.0,µm
Order__Fiber Diameter Tol (± µm),1.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Main Coating Diameter Tol (± µm),5.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Secondary Coating Diameter Tol (± µm),15.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,hello,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-02-22 07:52:24,
Process__Preform Diameter,16.0,mm
Process__Preform Shape,Tiger Cut,
Process__Octagonal Preform,0,bool
Process__Octagonal F2F,0.0,mm
Process__Tiger Preform,1,bool
Process__Tiger Cut,21.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,201.06192982974676,mm^2
Process__Adjusted Area,158.83892456549995,mm^2
Process__Effective Preform Diameter,14.221111067704943,mm
Process__Selected Iris Diameter,21.5,mm
Process__Iris Gap Area,204.2113764649705,mm^2
Process__Entry Fiber Diameter,40.0,µm
Process__Target First Coating Diameter,80.0,µm
Process__Target Second Coating Diameter,110.0,µm
Process__First Coating Diameter (Theoretical),80.56343752013228,µm
Process__Second Coating Diameter (Theoretical),108.91161551997533,µm
Process__Primary Coating,DP-1032,
Process__Secondary Coating,DS-2015,
Process__Primary Coating Temperature,36.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,130,µm
Process__Secondary Die Diameter,140,µm
Process__Primary Die Name,Die_130,
Process__Secondary Die Name,Die_140,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,50.0,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN1,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-02-22 07:53:21,
Dashboard Log File,newst_test23.csv,
Good Zones Count,1,count
Good Zones X Column,Date/Time,
Zone 1 | Start,19/11/2024 13:48:53776,index/label
Zone 1 | End,19/11/2024 14:07:43767,index/label
Zone 1 | Bare Fibre Diameter | Avg,401.4325561523438,
Zone 1 | Bare Fibre Diameter | Max,410.040008544922,
Zone 1 | Bare Fibre Diameter | Min,395.709991455078,
Zone 1 | Cane Speed Actual | Avg,0.0,
