Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,TTESTCSV6F_1,
Order__Draw Date,2026-02-24 16:36:33,
Order__Order Index,24,
Order__Preform Number,TTESTCSV6,
Order__Fiber Project,TAMAM - TIGER,
Order__Priority,Normal,
Order__Order Opener,OHAD,
Order__Fiber Geometry Type,TIGER - PM,
Order__Tiger Cut (%),21.0,%
Order__Octagonal F2F (mm),0.0,mm
Order__Required Length (m) (for T&M+costumer),0.02,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),40.0,µm
Order__Main Coating Diameter (µm),80.0,µm
Order__Secondary Coating Diameter (µm),110.0,µm
Order__Tension (g),20.0,g
Order__Draw Speed (m/min),50.0,m/min
Order__Main Coating,DP-1032,
Order__Secondary Coating,DS-2015,
Order__Main Coating Temperature (°C),36.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,דג,
,,
Zones Saved Timestamp,2026-02-24 16:37:28,
Dashboard Log File,newst_test23.csv,
Good Zones Count,1,count
Good Zones X Column,Date/Time,
Zone 1 Start,19/11/2024 13:47:43816,index/label
Zone 1 End,19/11/2024 14:00:08803,index/label
Zone 1 Avg - Bare Fibre Diameter,401.25166768391927,
Zone 1 Min - Bare Fibre Diameter,392.200012207031,
Zone 1 Max - Bare Fibre Diameter,410.040008544922,
Zone 1 Avg - Diameter Error,10.050000190734899,
Zone 1 Min - Diameter Error,10.0500001907349,
Zone 1 Max - Diameter Error,10.0500001907349,
Zone 1 Avg - Pf Process Position,57.78763570149741,
Zone 1 Min - Pf Process Position,38.1911315917969,
Zone 1 Max - Pf Process Position,84.1275634765625,
Zone 1 Avg - Capstan Speed,14.37632006963094,
Zone 1 Min - Capstan Speed,4.89600038528442,
Zone 1 Max - Capstan Speed,20.5440006256104,
Zone 1 Avg - Fibre Length,0.15610257829229038,
Zone 1 Min - Fibre Length,0.0857447981834412,
Zone 1 Max - Fibre Length,0.264620393514633,
Zone 1 Avg - Good Fibre State,0.0,
Zone 1 Min - Good Fibre State,0.0,
Zone 1 Max - Good Fibre State,0.0,
Zone 1 Avg - Furnace DegC Actual,2046.751340332033,
Zone 1 Min - Furnace DegC Actual,2039.09375,
Zone 1 Max - Furnace DegC Actual,2050.38134765625,
Zone 1 Avg - Furnace Power,20.735846773783365,
Zone 1 Min - Furnace Power,20.0672092437744,
Zone 1 Max - Furnace Power,21.0289287567139,
Zone 1 Avg - Preform Speed Actual,3.6875131495793663,
Zone 1 Min - Preform Speed Actual,1.08685708045959,
Zone 1 Max - Preform Speed Actual,4.39611434936523,
Zone 1 Avg - Furnace MFC1 Actual,4.982066558202107,
Zone 1 Min - Furnace MFC1 Actual,4.98000001907349,
Zone 1 Max - Furnace MFC1 Actual,4.98400020599365,
Zone 1 Avg - Furnace MFC2 Actual,0.9851599872112272,
Zone 1 Min - Furnace MFC2 Actual,0.983999967575073,
Zone 1 Max - Furnace MFC2 Actual,0.986000001430511,
Zone 1 Avg - Furnace MFC3 Actual,4.953826675415038,
Zone 1 Min - Furnace MFC3 Actual,4.9520001411438,
Zone 1 Max - Furnace MFC3 Actual,4.95599985122681,
Zone 1 Avg - Furnace MFC4 Actual,0.9844426683584849,
Zone 1 Min - Furnace MFC4 Actual,0.984000027179718,
Zone 1 Max - Furnace MFC4 Actual,0.984799981117249,
Zone 1 Avg - Cane Speed Actual,0.0,
Zone 1 Min - Cane Speed Actual,0.0,
Zone 1 Max - Cane Speed Actual,0.0,
Zone 1 Avg - Tension N,41.79136553446452,
Zone 1 Min - Tension N,13.1884756088257,
Zone 1 Max - Tension N,61.0557136535645,
