Parameter Name,Value,Units
Entry Fiber Diameter,40.0,µm
First Coating Diameter (Theoretical),84.75922776520372,µm
Second Coating Diameter (Theoretical),115.82600546952773,µm
Primary Coating,DP-1032,
Secondary Coating,DS-2015,
First Coating Entry Die,200.0,µm
Second Coating Entry Die,200.0,µm
Primary Coating Temperature,47.0,°C
Secondary Coating Temperature,44.0,°C
Primary Die Diameter,140,µm
Secondary Die Diameter,150,µm
Preform Diameter,15.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,19.5,mm
Preform Diameter,15.0,mm
Tiger Cut,0.0,%
Selected Iris Diameter,22.0,mm
