============================================================
DRAW DATASET — TEXT SNAPSHOT
============================================================
Time: 2026-02-24 20:35:51
Source CSV: P0testcsv8F_1.csv
Preform Length After Draw (cm): 0.0
Done Description: fdfs 
------------------------------------------------------------

CSV CONTENT (raw):

Parameter Name,Value,Units
=== ORDER PARAMETERS ===,,
Order__Draw Name,P0testcsv8F_1,
Order__Draw Date,2026-02-24 20:35:08,
Order__Order Index,25,
Order__Preform Number,P0testcsv8,
Order__Fiber Project,LARA - ELOP,
Order__Priority,Normal,
Order__Order Opener,OHAD,
Order__Fiber Geometry Type,Octagonal,
Order__Tiger Cut (%),0.0,%
Order__Octagonal F2F (mm),28.0,mm
Order__Required Length (m) (for T&M+costumer),0.01,m
Order__Good Zones Count (required length zones),1,count
Order__Fiber Diameter (µm),400.0,µm
Order__Main Coating Diameter (µm),560.0,µm
Order__Secondary Coating Diameter (µm),650.0,µm
Order__Tension (g),60.0,g
Order__Draw Speed (m/min),40.0,m/min
Order__Main Coating,Coating_OF_136,
Order__Secondary Coating,DP-1032,
Order__Main Coating Temperature (°C),28.0,°C
Order__Secondary Coating Temperature (°C),28.0,°C
Order__Order Notes,,
,,
=== PROCESS SETUP ===,,
Process__Process Setup Timestamp,2026-02-24 20:35:12,
Process__Preform Diameter,,mm
Process__Preform Shape,Octagonal,
Process__Octagonal Preform,1,bool
Process__Octagonal F2F,28.0,mm
Process__Tiger Preform,0,bool
Process__Tiger Cut,0.0,%
Process__PM Iris System,0,bool
Process__Iris Mode,Manual,
Process__Base Area,649.486865801013,mm^2
Process__Adjusted Area,649.486865801013,mm^2
Process__Effective Preform Diameter,28.756779397629867,mm
Process__Selected Iris Diameter,33.0,mm
Process__Iris Gap Area,205.81173413880822,mm^2
Process__Entry Fiber Diameter,400.0,µm
Process__Target First Coating Diameter,560.0,µm
Process__Target Second Coating Diameter,650.0,µm
Process__First Coating Diameter (Theoretical),517.3539976926775,µm
Process__Second Coating Diameter (Theoretical),646.5257149608435,µm
Process__Primary Coating,Coating_OF_136,
Process__Secondary Coating,DP-1032,
Process__Primary Coating Temperature,28.0,°C
Process__Secondary Coating Temperature,28.0,°C
Process__Primary Die Diameter,641,µm
Process__Secondary Die Diameter,785,µm
Process__Primary Die Name,Die_641,
Process__Secondary Die Name,Die_785,
Process__Coating Die Selection Mode,Auto,
Process__Draw Speed,40.0,m/min
Process__P Gain (Diameter Control),1.0,
Process__I Gain (Diameter Control),1.0,
Process__TF Mode,Winder,
Process__Increment TF Value,0.12,mm
Process__Selected Drum,BN1,
,,
=== LOGS DATA SECTION ===,,
,,
### DASHBOARD ZONES,,
,,
Zones Saved Timestamp,2026-02-24 20:35:38,
Dashboard Log File,newst_test23.csv,
Good Zones Count,1,count
Good Zones X Column,Date/Time,
Zone 1 | Start,19/11/2024 13:52:18784,index/label
Zone 1 | End,19/11/2024 14:01:08800,index/label
Zone 1 | Bare Fibre Diameter | Avg,399.93430021767307,
Zone 1 | Bare Fibre Diameter | Min,395.709991455078,
Zone 1 | Bare Fibre Diameter | Max,405.690002441406,
Zone 1 | Diameter Error | Avg,10.050000190734902,
Zone 1 | Diameter Error | Min,10.0500001907349,
Zone 1 | Diameter Error | Max,10.0500001907349,
Zone 1 | Pf Process Position | Avg,69.12062229619961,
Zone 1 | Pf Process Position | Min,49.7297668457031,
Zone 1 | Pf Process Position | Max,88.5131225585938,
Zone 1 | Capstan Speed | Avg,18.959551606222846,
Zone 1 | Capstan Speed | Min,13.4400005340576,
Zone 1 | Capstan Speed | Max,20.5440006256104,
Zone 1 | Fibre Length | Avg,0.19929450799093065,
Zone 1 | Fibre Length | Min,0.115451201796532,
Zone 1 | Fibre Length | Max,0.283263623714447,
Zone 1 | Good Fibre State | Avg,0.0,
Zone 1 | Good Fibre State | Min,0.0,
Zone 1 | Good Fibre State | Max,0.0,
Zone 1 | Furnace DegC Actual | Avg,2044.3255934670713,
Zone 1 | Furnace DegC Actual | Min,2039.09375,
Zone 1 | Furnace DegC Actual | Max,2050.38134765625,
Zone 1 | Furnace Power | Avg,20.650319946146457,
Zone 1 | Furnace Power | Min,20.0672092437744,
Zone 1 | Furnace Power | Max,20.9681091308594,
