============================================================
DRAW DATASET — TEXT SNAPSHOT
============================================================
Time: 2026-02-03 16:53:44
Source CSV: TAMAM - TIGER_RRR_20260203_164857.csv
Preform Length After Draw (cm): 15.0
Done Description: Hello 
------------------------------------------------------------

CSV CONTENT (raw):

Parameter Name,Value,Units
Draw Name,TAMAM - TIGER,
Draw Date,2026-02-03 16:48:57,
Order Index,23,
Preform Number,RRR,
Fiber Project,TAMAM - TIGER,
Priority,Normal,
Order Opener,R,
Fiber Geometry Type,TIGER - PM,
Tiger Cut (%),21.0,%
Octagonal F2F (mm),0.0,mm
Required Length (m) (for T&M+costumer),0.02,m
Good Zones Count (required length zones),1,count
Fiber Diameter (µm),40.0,µm
Main Coating Diameter (µm),80.0,µm
Secondary Coating Diameter (µm),110.0,µm
Tension (g),20.0,g
Draw Speed (m/min),50.0,m/min
Main Coating,DP-1032,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),36.0,°C
Secondary Coating Temperature (°C),28.0,°C
Order Notes,,
Log File Name,newst_test23.csv,
Zone 1 Start,2024-11-19 13:23:29.772000,
Zone 1 End,2024-11-19 13:44:19.772000,
Zone 2 Start,2024-11-19 14:03:37.772000,
Zone 2 End,2024-11-19 14:14:48.772000,
Good Zone 1 Avg - Bare Fibre Diameter,328.60507794189454,
Good Zone 1 Min - Bare Fibre Diameter,210.0,
Good Zone 1 Max - Bare Fibre Diameter,462.0,
Good Zone 1 Avg - Diameter Error,10.050000190734899,
Good Zone 1 Min - Diameter Error,10.0500001907349,
Good Zone 1 Max - Diameter Error,10.0500001907349,
Good Zone 1 Avg - Pf Process Position,25.006475097656256,
Good Zone 1 Min - Pf Process Position,21.0701293945313,
Good Zone 1 Max - Pf Process Position,34.4430847167969,
Good Zone 1 Avg - Capstan Speed,3.301248048782351,
Good Zone 1 Min - Capstan Speed,0.0,
Good Zone 1 Max - Capstan Speed,5.08799982070923,
Good Zone 1 Avg - Fibre Length,0.02276258712704293,
Good Zone 1 Min - Fibre Length,0.0,
Good Zone 1 Max - Fibre Length,0.0686684027314186,
Good Zone 1 Avg - Good Fibre State,0.0,
Good Zone 1 Min - Good Fibre State,0.0,
Good Zone 1 Max - Good Fibre State,0.0,
Good Zone 1 Avg - Furnace DegC Actual,2050.011443359378,
Good Zone 1 Min - Furnace DegC Actual,2049.44067382813,
Good Zone 1 Max - Furnace DegC Actual,2050.38134765625,
Good Zone 1 Avg - Furnace Power,20.893258575439454,
Good Zone 1 Min - Furnace Power,20.662088394165,
Good Zone 1 Max - Furnace Power,21.0676937103271,
Good Zone 1 Avg - Preform Speed Actual,0.6448949426917823,
Good Zone 1 Min - Preform Speed Actual,-0.0218400005251169,
Good Zone 1 Max - Preform Speed Actual,1.10914278030396,
Good Zone 1 Avg - Furnace MFC1 Actual,4.982335931777954,
Good Zone 1 Min - Furnace MFC1 Actual,4.98000001907349,
Good Zone 1 Max - Furnace MFC1 Actual,4.98400020599365,
Good Zone 1 Avg - Furnace MFC2 Actual,0.9855679941177365,
Good Zone 1 Min - Furnace MFC2 Actual,0.983999967575073,
Good Zone 1 Max - Furnace MFC2 Actual,0.986000001430511,
Good Zone 1 Avg - Furnace MFC3 Actual,4.954079990386961,
Good Zone 1 Min - Furnace MFC3 Actual,4.9520001411438,
Good Zone 1 Max - Furnace MFC3 Actual,4.95599985122681,
Good Zone 1 Avg - Furnace MFC4 Actual,0.984131219625473,
Good Zone 1 Min - Furnace MFC4 Actual,0.984000027179718,
Good Zone 1 Max - Furnace MFC4 Actual,0.984799981117249,
Good Zone 1 Avg - Cane Speed Actual,0.0,
Good Zone 1 Min - Cane Speed Actual,0.0,
Good Zone 1 Max - Cane Speed Actual,0.0,
Good Zone 1 Avg - Tension N,-13.5621441116333,
Good Zone 1 Min - Tension N,-14.1413383483887,
Good Zone 1 Max - Tension N,0.0212917327880859,
Good Zone 1 Avg - Trend Marker,0.0,
Good Zone 1 Min - Trend Marker,0.0,
Good Zone 1 Max - Trend Marker,0.0,
Good Zone 1 Avg - Coated Outer Diameter,2.0,
Good Zone 1 Min - Coated Outer Diameter,2.0,
Good Zone 1 Max - Coated Outer Diameter,2.0,
Good Zone 1 Avg - Furnace MFC1 Set,5.0,
Good Zone 1 Min - Furnace MFC1 Set,5.0,
Good Zone 1 Max - Furnace MFC1 Set,5.0,
Good Zone 1 Avg - Furnace MFC3 Set,5.0,
Good Zone 1 Min - Furnace MFC3 Set,5.0,
Good Zone 1 Max - Furnace MFC3 Set,5.0,
Good Zone 1 Avg - Furnace MFC4 Set,1.0,
Good Zone 1 Min - Furnace MFC4 Set,1.0,
Good Zone 1 Max - Furnace MFC4 Set,1.0,
Good Zone 1 Avg - Furnace MFC2 Set,1.0,
Good Zone 1 Min - Furnace MFC2 Set,1.0,
Good Zone 1 Max - Furnace MFC2 Set,1.0,
Good Zone 1 Avg - Furnace DegC Set,2050.0,
Good Zone 1 Min - Furnace DegC Set,2050.0,
Good Zone 1 Max - Furnace DegC Set,2050.0,
Good Zone 1 Avg - UV 1 Intensity,0.0,
Good Zone 1 Min - UV 1 Intensity,0.0,
Good Zone 1 Max - UV 1 Intensity,0.0,
Good Zone 1 Avg - UV 2 Intensity,0.0,
Good Zone 1 Min - UV 2 Intensity,0.0,
Good Zone 1 Max - UV 2 Intensity,0.0,
Good Zone 1 Avg - UV1 Status,2.68,
Good Zone 1 Min - UV1 Status,2.0,
Good Zone 1 Max - UV1 Status,4.0,
Good Zone 1 Avg - UV2 Status,3.372,
Good Zone 1 Min - UV2 Status,2.0,
Good Zone 1 Max - UV2 Status,5.0,
Good Zone 1 Avg - Poly X Diameter,0.0,
Good Zone 1 Min - Poly X Diameter,0.0,
Good Zone 1 Max - Poly X Diameter,0.0,
Good Zone 1 Avg - Poly Y Diameter,0.0,
