Parameter Name,Value,Units
Draw Name,3Hr HFF_1,
Draw Date,2023-11-08 12:00:00,
Process Setup Timestamp,2023-11-08 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,31.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-11-08 13:00:00,
Preform Number,3Hr HF,
Order Notes,250 - HF Check,
Tension (g),60,g
Draw Speed (m/min),30,m/min
Tension Actual (g),60,g
Draw Speed Actual (m/min),30,m/min
Fiber Diameter (µm),250,µm
Entry Fiber Diameter (µm),250,µm
Main Coating Diameter (µm),315,µm
Secondary Coating Diameter (µm),375,µm
Furnace DegC Set,2050,°C
Preform Shape,Round,
Preform Diameter,27.3,mm
Total Fiber Length (m),1626,m
Total Good Fiber Length (m),863,m
Cut 1,6,m
Good fiber 1,863,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),800,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.749,index/label
Zone 1 End,legacy_fibre_km=1.613,index/label
Good Zone 1 (km from end) Start,0.0129999999999999,km
Good Zone 1 (km from end) End,0.8769999999999999,km
Good Zone 1 Length,0.864,km
Good Zone 1 Fibre Length Min,0.749,km
Good Zone 1 Fibre Length Max,1.613,km
Marked Zone 1 Avg - Bare Fibre Diameter,250.0,
Marked Zone 1 Min - Bare Fibre Diameter,250.0,
Marked Zone 1 Max - Bare Fibre Diameter,250.0,
Marked Zone 1 Avg - Furnace DegC Actual,2050.0,
Marked Zone 1 Min - Furnace DegC Actual,2050.0,
Marked Zone 1 Max - Furnace DegC Actual,2050.0,
Marked Zone 1 Avg - Capstan Speed,30.0,
Marked Zone 1 Min - Capstan Speed,30.0,
Marked Zone 1 Max - Capstan Speed,30.0,
Marked Zone 1 Avg - Tension N,60.0,g
Marked Zone 1 Min - Tension N,60.0,g
Marked Zone 1 Max - Tension N,60.0,g
Marked Zone 1 Avg - Pf Process Position,131.88,cm
Marked Zone 1 Min - Pf Process Position,95.39,cm
Marked Zone 1 Max - Pf Process Position,168.37,cm
