Parameter Name,Value,Units
Draw Name,6Hr HFF_1,
Draw Date,2023-11-22 12:00:00,
Process Setup Timestamp,2023-11-22 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,33.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-11-22 13:00:00,
Preform Number,6Hr HF,
Order Notes,250 - HF Check,
Tension (g),60,g
Draw Speed (m/min),30,m/min
Tension Actual (g),60.73,g
Draw Speed Actual (m/min),30,m/min
Fiber Diameter (µm),250,µm
Entry Fiber Diameter (µm),250,µm
Main Coating Diameter (µm),315,µm
Secondary Coating Diameter (µm),375,µm
Furnace DegC Set,2055,°C
Preform Shape,Round,
Preform Diameter,28.55,mm
Total Fiber Length (m),1410,m
Total Good Fiber Length (m),930,m
Cut 1,21,m
Good fiber 1,930,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),800,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.457,index/label
Zone 1 End,legacy_fibre_km=1.387,index/label
Good Zone 1 (km from end) Start,0.02299999999999991,km
Good Zone 1 (km from end) End,0.9529999999999998,km
Good Zone 1 Length,0.9299999999999999,km
Good Zone 1 Fibre Length Min,0.457,km
Good Zone 1 Fibre Length Max,1.387,km
Marked Zone 1 Avg - Bare Fibre Diameter,250.0,
Marked Zone 1 Min - Bare Fibre Diameter,250.0,
Marked Zone 1 Max - Bare Fibre Diameter,250.0,
Marked Zone 1 Avg - Furnace DegC Actual,2055.0,
Marked Zone 1 Min - Furnace DegC Actual,2055.0,
Marked Zone 1 Max - Furnace DegC Actual,2055.0,
Marked Zone 1 Avg - Capstan Speed,30.0,
Marked Zone 1 Min - Capstan Speed,30.0,
Marked Zone 1 Max - Capstan Speed,30.0,
Marked Zone 1 Avg - Tension N,60.73,g
Marked Zone 1 Min - Tension N,60.73,g
Marked Zone 1 Max - Tension N,60.73,g
Marked Zone 1 Avg - Pf Process Position,97.575,cm
Marked Zone 1 Min - Pf Process Position,61.91,cm
Marked Zone 1 Max - Pf Process Position,133.24,cm
