Parameter Name,Value,Units
Draw Name,G009F_1,
Draw Date,2024-04-03 12:00:00,
Process Setup Timestamp,2024-04-03 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Round,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,0,bool
Octagonal F2F (mm),0.0,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,23.0,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2024-04-03 13:00:00,
Preform Number,G009,
Order Notes,125,
Tension (g),40,g
Draw Speed (m/min),30,m/min
Tension Actual (g),42.89,g
Draw Speed Actual (m/min),29.67,m/min
Fiber Diameter (µm),125,µm
Entry Fiber Diameter (µm),125,µm
Main Coating Diameter (µm),167,µm
Secondary Coating Diameter (µm),260,µm
Furnace DegC Set,2020,°C
Preform Shape,Round,
Preform Diameter,16.5,mm
Total Fiber Length (m),2379,m
Total Good Fiber Length (m),875,m
Cut 1,20,m
Good fiber 1,80,m
Cut 2,71,m
Good fiber 2,55,m
Cut 3,454,m
Good fiber 3,740,m
Required Length (m) (for T&M+costumer),1000,m
Good Zones Count,0,count
Good Zones X Column,Fibre Length,
