Parameter Name,Value,Units
Draw Name,P0353F_1,
Draw Date,2023-02-21 12:00:00,
Process Setup Timestamp,2023-02-21 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Octagonal,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,1,bool
Octagonal F2F (mm),24.95,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,30.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,OK,
Done Timestamp,2023-02-21 13:00:00,
Preform Number,P0353,
Order Notes,125 - MKS,
Tension (g),60,g
Draw Speed (m/min),50,m/min
Tension Actual (g),60,g
Draw Speed Actual (m/min),50,m/min
Fiber Diameter (µm),125,µm
Entry Fiber Diameter (µm),125,µm
Main Coating Diameter (µm),167,µm
Secondary Coating Diameter (µm),260,µm
Furnace DegC Set,1940,°C
Preform Shape,Octagonal,
Preform Diameter,24.95,mm
Total Fiber Length (m),11955,m
Total Good Fiber Length (m),9053,m
Cut 1,32,m
Good fiber 1,3474,m
Cut 2,1382,m
Good fiber 2,5579,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),all,m
Good Zones Count,2,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=1.488,index/label
Zone 1 End,legacy_fibre_km=7.067,index/label
Good Zone 1 (km from end) Start,4.888,km
Good Zone 1 (km from end) End,10.467,km
Good Zone 1 Length,5.579000000000001,km
Good Zone 1 Fibre Length Min,1.488,km
Good Zone 1 Fibre Length Max,7.067,km
Marked Zone 1 Avg - Bare Fibre Diameter,125.0,
Marked Zone 1 Min - Bare Fibre Diameter,125.0,
Marked Zone 1 Max - Bare Fibre Diameter,125.0,
Marked Zone 1 Avg - Furnace DegC Actual,1940.0,
Marked Zone 1 Min - Furnace DegC Actual,1940.0,
Marked Zone 1 Max - Furnace DegC Actual,1940.0,
Marked Zone 1 Avg - Capstan Speed,50.0,
Marked Zone 1 Min - Capstan Speed,50.0,
Marked Zone 1 Max - Capstan Speed,50.0,
Marked Zone 1 Avg - Tension N,60.0,g
Marked Zone 1 Min - Tension N,60.0,g
Marked Zone 1 Max - Tension N,60.0,g
Marked Zone 1 Avg - Pf Process Position,131.16,cm
Marked Zone 1 Min - Pf Process Position,54.97,cm
Marked Zone 1 Max - Pf Process Position,207.35,cm
Zone 2 Start,legacy_fibre_km=8.449,index/label
Zone 2 End,legacy_fibre_km=11.923,index/label
Good Zone 2 (km from end) Start,0.03200000000000003,km
Good Zone 2 (km from end) End,3.5060000000000002,km
Good Zone 2 Length,3.474,km
Good Zone 2 Fibre Length Min,8.449,km
Good Zone 2 Fibre Length Max,11.923,km
Marked Zone 2 Avg - Bare Fibre Diameter,125.0,
Marked Zone 2 Min - Bare Fibre Diameter,125.0,
Marked Zone 2 Max - Bare Fibre Diameter,125.0,
Marked Zone 2 Avg - Furnace DegC Actual,1940.0,
Marked Zone 2 Min - Furnace DegC Actual,1940.0,
Marked Zone 2 Max - Furnace DegC Actual,1940.0,
Marked Zone 2 Avg - Capstan Speed,50.0,
Marked Zone 2 Min - Capstan Speed,50.0,
Marked Zone 2 Max - Capstan Speed,50.0,
Marked Zone 2 Avg - Tension N,60.0,g
Marked Zone 2 Min - Tension N,60.0,g
Marked Zone 2 Max - Tension N,60.0,g
Marked Zone 2 Avg - Pf Process Position,292.345,cm
Marked Zone 2 Min - Pf Process Position,244.8,cm
Marked Zone 2 Max - Pf Process Position,339.89,cm
