Parameter Name,Value,Units
Draw Name,P0412.1F_1,
Draw Date,2023-11-14 12:00:00,
Process Setup Timestamp,2023-11-14 12:00:00,
Priority,Normal,
Order Index,,
Fiber Project,,
Order Opener,,
Fiber Geometry Type,Octagonal,
Tiger Cut (%),0.0,%
Tiger Preform,0,bool
Tiger Cut,0.0,%
Octagonal Preform,1,bool
Octagonal F2F (mm),25.38,mm
PM Iris System,0,bool
Iris Mode,Manual,
Selected Iris Diameter,30.5,mm
Main Coating,OF-136,
Secondary Coating,DS-2015,
Main Coating Temperature (°C),,°C
Secondary Coating Temperature (°C),,°C
Done Description,,
Done Timestamp,2023-11-14 13:00:00,
Preform Number,P0412.1,
Order Notes,400 - Octa,
Tension (g),60,g
Draw Speed (m/min),20,m/min
Tension Actual (g),59.3,g
Draw Speed Actual (m/min),17.75,m/min
Fiber Diameter (µm),400,µm
Entry Fiber Diameter (µm),400,µm
Main Coating Diameter (µm),475,µm
Secondary Coating Diameter (µm),560,µm
Furnace DegC Set,2070,°C
Preform Shape,Octagonal,
Preform Diameter,25.38,mm
Total Fiber Length (m),922,m
Total Good Fiber Length (m),594,m
Cut 1,11,m
Good fiber 1,594,m
Cut 2,-,m
Good fiber 2,0,m
Good fiber 3,0,m
Required Length (m) (for T&M+costumer),all,m
Good Zones Count,1,count
Good Zones X Column,Fibre Length,
Zone 1 Start,legacy_fibre_km=0.315,index/label
Zone 1 End,legacy_fibre_km=0.909,index/label
Good Zone 1 (km from end) Start,0.013000000000000012,km
Good Zone 1 (km from end) End,0.607,km
Good Zone 1 Length,0.594,km
Good Zone 1 Fibre Length Min,0.315,km
Good Zone 1 Fibre Length Max,0.909,km
Marked Zone 1 Avg - Bare Fibre Diameter,400.0,
Marked Zone 1 Min - Bare Fibre Diameter,400.0,
Marked Zone 1 Max - Bare Fibre Diameter,400.0,
Marked Zone 1 Avg - Furnace DegC Actual,2070.0,
Marked Zone 1 Min - Furnace DegC Actual,2070.0,
Marked Zone 1 Max - Furnace DegC Actual,2070.0,
Marked Zone 1 Avg - Capstan Speed,17.75,
Marked Zone 1 Min - Capstan Speed,17.75,
Marked Zone 1 Max - Capstan Speed,17.75,
Marked Zone 1 Avg - Tension N,59.3,g
Marked Zone 1 Min - Tension N,59.3,g
Marked Zone 1 Max - Tension N,59.3,g
Marked Zone 1 Avg - Pf Process Position,175.62,cm
Marked Zone 1 Min - Pf Process Position,96.32,cm
Marked Zone 1 Max - Pf Process Position,254.92,cm
