key,kind,critical,exists,readable,writable,listable,parse_ok,parse_info,write_probe_ok,write_probe_info,healthy,elapsed_ms,path
after_done_log,file,False,True,True,True,False,True,read_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/hooks/after_done_last_run.txt
assets_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/assets
backups_dir,dir,True,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/backups
coating_config_json,file,True,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/config_coating.json
coating_data_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/coating_data.json
coating_stock_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/state/coating_type_stock.json
config_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config
consumables_csv,file,False,True,True,True,False,True,csv_cols=2,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/consumables.csv
container_config_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/container_config.json
container_levels_prev_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/state/container_levels_prev.json
data_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data
dataset_dir,dir,True,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data_set_csv
development_csv,file,False,True,True,True,False,True,csv_cols=14,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/development_process.csv
dies_config_json,file,True,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/dies_6station.json
directory_config_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/directory_config.json
done_snapshots_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/hooks/done_csv_snapshots
duckdb_path,file,True,False,False,True,False,,,True,,False,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/tower_70558.duckdb
experiment_updates_csv,file,False,True,True,True,False,True,csv_cols=5,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/experiment_updates.csv
gas_reports_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/reports/gas
gas_reports_state_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/reports/gas/_gas_reports_state.json
heater_config_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/heater_config.json
history_csv,file,False,True,True,True,False,True,csv_cols=27,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/history_log.csv
home_bg_image,file,False,True,True,True,False,True,read_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/assets/images/IMG_1094.JPEG
hooks_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/hooks
images_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/assets/images
logo_image,file,False,True,True,True,False,True,read_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/assets/images/icap.png
logs_dir,dir,True,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/logs
maintenance_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/maintenance
orders_csv,file,True,True,True,True,False,True,csv_cols=48,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/draw_orders.csv
parts_archived_csv,file,False,True,True,True,False,True,csv_cols=14,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/archived_orders.csv
parts_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/parts
parts_orders_csv,file,True,True,True,True,False,True,csv_cols=12,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/part_orders.csv
pid_config_json,file,True,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/pid_config.json
preform_inventory_csv,file,False,True,True,True,False,True,csv_cols=5,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/preforms_inventory.csv
projects_fiber_csv,file,False,True,True,True,False,True,csv_cols=1,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/projects_fiber.csv
projects_fiber_templates_csv,file,False,True,True,True,False,True,csv_cols=17,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/projects_fiber_templates.csv
protocols_assets_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/protocols_assets
protocols_csv,file,False,True,True,True,False,True,csv_cols=1,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/protocols.csv
protocols_json,file,True,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/config/protocols.json
reports_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/reports
root_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work
sap_rods_inventory_csv,file,False,True,True,True,False,True,csv_cols=5,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/sap_rods_inventory.csv
schedule_csv,file,True,True,True,True,False,True,csv_cols=5,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/tower_schedule.csv
selected_csv_json,file,False,True,True,True,False,True,json_ok,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/selected_csv.json
state_dir,dir,False,True,True,True,True,,,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/state
tower_containers_csv,file,True,True,True,True,False,True,csv_cols=9,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/tower_containers.csv
tower_temps_csv,file,True,True,True,True,False,True,csv_cols=11,True,,True,0,/Users/ohadformanair/PycharmProjects/Tower_work/data/tower_temps.csv
